Ensembl;Gene symbol;Name;Biotype;Chromosome;Seq region start;Seq region end
ENSG00000253114;;;Processed Pseudogene;8;54696398;54697127
ENSG00000272754;;;Linc R N A;2;32321638;32323002
ENSG00000181109;OR52P1P;"olfactory receptor family 52 subfamily P member 1 pseudogene [Source:HGNC Symbol;Acc:HGNC:15232]";Unitary Pseudogene;11;5726502;5727464
ENSG00000172057;ORMDL3;"ORMDL sphingolipid biosynthesis regulator 3 [Source:HGNC Symbol;Acc:HGNC:16038]";Protein Coding;17;39921041;39927601
ENSG00000260259;;;Linc R N A;16;89682620;89686569
ENSG00000262343;;;Linc R N A;17;79848058;79850110
ENSG00000255916;;;Antisense;12;132329850;132331575
ENSG00000268812;;;Antisense;22;30246205;30246998
ENSG00000257210;NACAP3;"nascent polypeptide associated complex alpha subunit pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:49490]";Processed Pseudogene;12;93124063;93124543
ENSG00000278128;;;Processed Pseudogene;6;23854444;23855457
ENSG00000110048;OSBP;"oxysterol binding protein [Source:HGNC Symbol;Acc:HGNC:8503]";Protein Coding;11;59574398;59616144
ENSG00000141447;OSBPL1A;"oxysterol binding protein like 1A [Source:HGNC Symbol;Acc:HGNC:16398]";Protein Coding;18;24162044;24397880
ENSG00000279637;;;T E C;18;79420836;79422780
ENSG00000225413;;;Linc R N A;22;23512494;23513602
ENSG00000267857;;;Linc R N A;21;45100487;45101094
ENSG00000130703;OSBPL2;"oxysterol binding protein like 2 [Source:HGNC Symbol;Acc:HGNC:15761]";Protein Coding;20;62231922;62296213
ENSG00000235738;;;Processed Pseudogene;7;55797946;55798480
ENSG00000256462;;;Antisense;10;5524976;5525742
ENSG00000070882;OSBPL3;"oxysterol binding protein like 3 [Source:HGNC Symbol;Acc:HGNC:16370]";Protein Coding;7;24796539;24981634
ENSG00000255489;;;Processed Pseudogene;11;24701275;24701575
ENSG00000258232;;;Antisense;12;49265156;49273306
ENSG00000021762;OSBPL5;"oxysterol binding protein like 5 [Source:HGNC Symbol;Acc:HGNC:16392]";Protein Coding;11;3087116;3166739
ENSG00000079156;OSBPL6;"oxysterol binding protein like 6 [Source:HGNC Symbol;Acc:HGNC:16388]";Protein Coding;2;178194481;178402891
ENSG00000144645;OSBPL10;"oxysterol binding protein like 10 [Source:HGNC Symbol;Acc:HGNC:16395]";Protein Coding;3;31657890;32077580
ENSG00000232490;OSBPL10-AS1;"OSBPL10 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40767]";Antisense;3;31704058;31721652
ENSG00000279730;SETD8P1;"SET domain containing 8 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:30088]";Processed Pseudogene;13;18297554;18298733
ENSG00000219453;;;Processed Pseudogene;6;23649496;23649774
ENSG00000272763;;;Linc R N A;17;48635923;48647023
ENSG00000257831;;;Antisense;14;31248628;31302739
ENSG00000280070;;;T E C;14;96992864;96996601
ENSG00000224478;;;Linc R N A;6;159107791;159116053
ENSG00000060491;OGFR;"opioid growth factor receptor [Source:HGNC Symbol;Acc:HGNC:15768]";Protein Coding;20;62804835;62814000
ENSG00000263766;;;Antisense;17;47603860;47649420
ENSG00000230484;OR51A10P;"olfactory receptor family 51 subfamily A member 10 pseudogene [Source:HGNC Symbol;Acc:HGNC:15185]";Unitary Pseudogene;11;5468486;5469422
ENSG00000269321;;;Antisense;19;48145908;48147413
ENSG00000170909;OSCAR;"osteoclast associated, immunoglobulin-like receptor [Source:HGNC Symbol;Acc:HGNC:29960]";Protein Coding;19;54094668;54102692
ENSG00000264174;;;Linc R N A;17;34725509;34726170
ENSG00000231100;;;Unprocessed Pseudogene;1;159557368;159558200
ENSG00000258393;;;Linc R N A;14;97116355;97121501
ENSG00000253233;;;Processed Pseudogene;8;39867436;39867812
ENSG00000116885;OSCP1;"organic solute carrier partner 1 [Source:HGNC Symbol;Acc:HGNC:29971]";Protein Coding;1;36415827;36450451
ENSG00000132823;OSER1;"oxidative stress responsive serine rich 1 [Source:HGNC Symbol;Acc:HGNC:16105]";Protein Coding;20;44196496;44210791
ENSG00000270241;;;Processed Pseudogene;1;34276859;34277292
ENSG00000253165;;;Linc R N A;8;133775551;133777352
ENSG00000223891;OSER1-AS1;"OSER1 antisense RNA 1 (head to head) [Source:HGNC Symbol;Acc:HGNC:48585]";Linc R N A;20;44210960;44226027
ENSG00000092094;OSGEP;"O-sialoglycoprotein endopeptidase [Source:HGNC Symbol;Acc:HGNC:18028]";Protein Coding;14;20446411;20455105
ENSG00000128694;OSGEPL1;"O-sialoglycoprotein endopeptidase-like 1 [Source:HGNC Symbol;Acc:HGNC:23075]";Protein Coding;2;189746660;189763227
ENSG00000164823;OSGIN2;"oxidative stress induced growth inhibitor family member 2 [Source:HGNC Symbol;Acc:HGNC:1355]";Protein Coding;8;89901859;89927888
ENSG00000279236;;;T E C;18;62551203;62552505
ENSG00000255438;;;Antisense;20;47677901;47686297
ENSG00000280142;;;T E C;X;122242008;122242616
ENSG00000234176;HSPA8P1;"heat shock protein family A (Hsp70) member 8 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:5245]";Processed Pseudogene;X;121203182;121205014
ENSG00000279662;;;T E C;16;10445309;10449747
ENSG00000282697;;;Processed Pseudogene;X;9409748;9410501
ENSG00000125571;IL37;"interleukin 37 [Source:HGNC Symbol;Acc:HGNC:15563]";Protein Coding;2;112912971;112918882
ENSG00000282299;;;Processed Pseudogene;X;9408818;9409571
ENSG00000282978;;;Processed Pseudogene;3;101457241;101457732
ENSG00000255295;;;Processed Pseudogene;11;89498748;89499198
ENSG00000261291;;;Sense Intronic;16;53168522;53169450
ENSG00000155666;KDM8;"lysine demethylase 8 [Source:HGNC Symbol;Acc:HGNC:25840]";Protein Coding;16;27203495;27221768
ENSG00000270828;;;Linc R N A;6;145736911;145737173
ENSG00000279300;;;T E C;19;17622447;17623338
ENSG00000279697;;;T E C;11;89545128;89545744
ENSG00000267062;;;Antisense;19;12796823;12801849
ENSG00000270380;;;Antisense;1;110456505;110457354
ENSG00000229282;;;Linc R N A;6;3055890;3056761
ENSG00000243378;;;Processed Pseudogene;3;182691928;182692285
ENSG00000228496;;;Sense Intronic;2;11681460;11683328
ENSG00000270387;;;Processed Pseudogene;4;147916529;147917386
ENSG00000277509;;;Processed Pseudogene;3;44528955;44529391
ENSG00000260991;;;Unprocessed Pseudogene;16;1280161;1280544
ENSG00000271889;;;Linc R N A;2;61151433;61162105
ENSG00000260187;;;Transcribed Processed Pseudogene;16;64736788;64737280
ENSG00000279655;;;T E C;7;27380562;27381206
ENSG00000168256;NKIRAS2;"NFKB inhibitor interacting Ras like 2 [Source:HGNC Symbol;Acc:HGNC:17898]";Protein Coding;17;42011382;42025644
ENSG00000270794;;;Processed Pseudogene;X;30209423;30210209
ENSG00000249740;OSMR-AS1;"OSMR antisense RNA 1 (head to head) [Source:HGNC Symbol;Acc:HGNC:50296]";Linc R N A;5;38710367;38845829
ENSG00000143867;OSR1;"odd-skipped related transciption factor 1 [Source:HGNC Symbol;Acc:HGNC:8111]";Protein Coding;2;19351485;19358653
ENSG00000198856;OSTC;"oligosaccharyltransferase complex non-catalytic subunit [Source:HGNC Symbol;Acc:HGNC:24448]";Protein Coding;4;108650584;108667820
ENSG00000225154;;;Processed Pseudogene;1;47074778;47075979
ENSG00000243775;OSTCP1;"oligosaccharyltransferase complex subunit pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:30530]";Transcribed Processed Pseudogene;6;158841117;158857632
ENSG00000219790;OSTCP6;"oligosaccharyltransferase complex subunit pseudogene 6 [Source:HGNC Symbol;Acc:HGNC:42868]";Processed Pseudogene;6;56975606;56976062
ENSG00000226801;OSTCP8;"oligosaccharyltransferase complex subunit pseudogene 8 [Source:HGNC Symbol;Acc:HGNC:42869]";Processed Pseudogene;9;33968071;33968518
ENSG00000242474;;;Linc R N A;7;135853;149466
ENSG00000272431;;;Linc R N A;5;178938677;178939223
ENSG00000081087;OSTM1;"osteopetrosis associated transmembrane protein 1 [Source:HGNC Symbol;Acc:HGNC:21652]";Protein Coding;6;108041409;108165854
ENSG00000225174;OSTM1-AS1;"OSTM1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:43666]";Linc R N A;6;108123515;108159392
ENSG00000228210;;;Processed Pseudogene;20;4590993;4591300
ENSG00000233308;OSTN-AS1;"OSTN antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:41250]";Antisense;3;191213291;191234605
ENSG00000227338;;;Linc R N A;10;3266003;3267015
ENSG00000237499;;;Antisense;6;137823673;137868233
ENSG00000234816;HIST1H2APS5;;Unprocessed Pseudogene;6;26043989;26044357
ENSG00000264388;;;Processed Pseudogene;18;71588537;71588884
ENSG00000172680;MOS;"v-mos Moloney murine sarcoma viral oncogene homolog [Source:HGNC Symbol;Acc:HGNC:7199]";Protein Coding;8;56112942;56113982
ENSG00000257848;;;Processed Pseudogene;12;48171590;48173353
ENSG00000213318;;;Processed Pseudogene;16;75192465;75193247
ENSG00000274102;OR4M2;"olfactory receptor family 4 subfamily M member 2 [Source:HGNC Symbol;Acc:HGNC:15373]";Protein Coding;15;22080527;22081659
ENSG00000258051;;;Processed Pseudogene;12;48160245;48160878
ENSG00000267417;;;Antisense;19;13013662;13014511
ENSG00000229853;;;Processed Pseudogene;20;47630266;47631438
ENSG00000230234;;;Linc R N A;6;160272617;160276130
ENSG00000254718;;;Antisense;14;60240121;60248765
ENSG00000270855;;;Processed Pseudogene;18;22418829;22419294
ENSG00000232502;;;Processed Pseudogene;2;94760774;94761116
ENSG00000267765;;;Antisense;17;42683187;42699466
ENSG00000198668;CALM1;"calmodulin 1 [Source:HGNC Symbol;Acc:HGNC:1442]";Protein Coding;14;90396502;90408261
ENSG00000263505;;;Processed Pseudogene;18;1159198;1160404
ENSG00000251048;;;Linc R N A;4;18488062;18489508
ENSG00000155719;OTOA;"otoancorin [Source:HGNC Symbol;Acc:HGNC:16378]";Protein Coding;16;21678514;21760729
ENSG00000115155;OTOF;"otoferlin [Source:HGNC Symbol;Acc:HGNC:8515]";Protein Coding;2;26457203;26558698
ENSG00000188162;OTOG;"otogelin [Source:HGNC Symbol;Acc:HGNC:8516]";Protein Coding;11;17547373;17647150
ENSG00000163982;OTOP1;"otopetrin 1 [Source:HGNC Symbol;Acc:HGNC:19656]";Protein Coding;4;4188803;4226889
ENSG00000236512;;;Processed Pseudogene;6;7620422;7620878
ENSG00000233313;HMGA1P5;"high mobility group AT-hook 1 pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:19120]";Processed Pseudogene;10;75276376;75276646
ENSG00000235159;;;Linc R N A;22;46067356;46069891
ENSG00000235674;LDHAP2;"lactate dehydrogenase A pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:6537]";Processed Pseudogene;1;235738005;235738989
ENSG00000214110;LDHAP4;"lactate dehydrogenase A pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:6539]";Processed Pseudogene;9;14921337;14922334
ENSG00000165271;NOL6;"nucleolar protein 6 [Source:HGNC Symbol;Acc:HGNC:19910]";Protein Coding;9;33461441;33473930
ENSG00000182938;OTOP3;"otopetrin 3 [Source:HGNC Symbol;Acc:HGNC:19658]";Protein Coding;17;74935719;74949992
ENSG00000125879;OTOR;"otoraplin [Source:HGNC Symbol;Acc:HGNC:8517]";Protein Coding;20;16748358;16770062
ENSG00000178602;OTOS;"otospiralin [Source:HGNC Symbol;Acc:HGNC:22644]";Protein Coding;2;240139026;240144562
ENSG00000282386;;;Antisense;1;153964361;153965070
ENSG00000260494;;;Unprocessed Pseudogene;16;30537202;30538231
ENSG00000270016;;;Antisense;15;30607695;30608193
ENSG00000273821;;;Linc R N A;20;63218041;63218502
ENSG00000236261;;;Unprocessed Pseudogene;7;57652875;57653208
ENSG00000271780;;;Linc R N A;14;101948347;101949425
ENSG00000273248;;;Linc R N A;10;75408973;75409326
ENSG00000278922;;;T E C;16;30526918;30528294
ENSG00000231585;;;Antisense;5;132011448;132013199
ENSG00000256234;;;Antisense;12;26211164;26335856
ENSG00000260066;;;Linc R N A;5;1725149;1728172
ENSG00000224931;;;Unprocessed Pseudogene;X;153122145;153128323
ENSG00000278374;;"U4 spliceosomal RNA [Source:RFAM;Acc:RF00015]";Sn R N A;8;123454981;123455107
ENSG00000273026;;;Antisense;1;153966516;153966930
ENSG00000236364;;;Antisense;1;165890795;165900683
ENSG00000222007;;;Antisense;2;235773855;235783387
ENSG00000278109;;"Metazoan signal recognition particle RNA [Source:RFAM;Acc:RF00017]";Misc R N A;17;43607436;43607723
ENSG00000269903;;;Linc R N A;12;57814494;57814926
ENSG00000243238;IGKV2-30;"immunoglobulin kappa variable 2-30 [Source:HGNC Symbol;Acc:HGNC:5785]";I G V Gene;2;89244781;89245596
ENSG00000128617;OPN1SW;"opsin 1 (cone pigments), short-wave-sensitive [Source:HGNC Symbol;Acc:HGNC:1012]";Protein Coding;7;128772491;128775790
ENSG00000171540;OTP;"orthopedia homeobox [Source:HGNC Symbol;Acc:HGNC:8518]";Protein Coding;5;77628712;77639688
ENSG00000207094;;"Small nucleolar RNA SNORA67 [Source:RFAM;Acc:RF00272]";Sno R N A;7;88449092;88449231
ENSG00000089723;OTUB2;"OTU deubiquitinase, ubiquitin aldehyde binding 2 [Source:HGNC Symbol;Acc:HGNC:20351]";Protein Coding;14;94026329;94048930
ENSG00000169914;OTUD3;"OTU deubiquitinase 3 [Source:HGNC Symbol;Acc:HGNC:29038]";Protein Coding;1;19882513;19912945
ENSG00000068308;OTUD5;"OTU deubiquitinase 5 [Source:HGNC Symbol;Acc:HGNC:25402]";Protein Coding;X;48922028;48958386
ENSG00000267735;;;Antisense;19;12880969;12884088
ENSG00000274342;;"TTC28 antisense RNA 1 conserved region 3 [Source:RFAM;Acc:RF02200]";Misc R N A;22;27994474;27994654
ENSG00000277311;;"Six3os1 conserved region 2 [Source:RFAM;Acc:RF02247]";Misc R N A;2;44934055;44934271
ENSG00000212712;;;Processed Pseudogene;18;12056676;12057822
ENSG00000280363;;;Protein Coding;22;11065974;11067346
ENSG00000221148;;"Small nucleolar RNA SNORA3/SNORA45 family [Source:RFAM;Acc:RF00334]";Sno R N A;12;84183324;84183448
ENSG00000275745;;"Y RNA [Source:RFAM;Acc:RF00019]";Misc R N A;16;66550457;66550567
ENSG00000089116;LHX5;"LIM homeobox 5 [Source:HGNC Symbol;Acc:HGNC:14216]";Protein Coding;12;113462034;113472280
ENSG00000207426;;"Y RNA [Source:RFAM;Acc:RF00019]";Misc R N A;X;96701507;96701619
ENSG00000201393;;"Small nucleolar RNA SNORA71 [Source:RFAM;Acc:RF00056]";Sno R N A;10;78367507;78367623
ENSG00000276861;;"5S ribosomal RNA [Source:RFAM;Acc:RF00001]";R R N A;2;89600571;89600680
ENSG00000015520;NPC1L1;"NPC1 like intracellular cholesterol transporter 1 [Source:HGNC Symbol;Acc:HGNC:7898]";Protein Coding;7;44512535;44541315
ENSG00000169918;OTUD7A;"OTU deubiquitinase 7A [Source:HGNC Symbol;Acc:HGNC:20718]";Protein Coding;15;31475398;31870789
ENSG00000264522;OTUD7B;"OTU deubiquitinase 7B [Source:HGNC Symbol;Acc:HGNC:16683]";Protein Coding;1;149937812;150010676
ENSG00000154124;OTULIN;"OTU deubiquitinase with linear linkage specificity [Source:HGNC Symbol;Acc:HGNC:25118]";Protein Coding;5;14664664;14699711
ENSG00000258435;;;Linc R N A;12;121391962;121399859
ENSG00000270966;;;Processed Pseudogene;8;8933721;8934006
ENSG00000237357;;;Linc R N A;9;42566679;42569353
ENSG00000227777;;;Processed Pseudogene;1;168542737;168543354
ENSG00000115507;OTX1;"orthodenticle homeobox 1 [Source:HGNC Symbol;Acc:HGNC:8521]";Protein Coding;2;63050057;63057836
ENSG00000257880;;;Sense Intronic;12;62139999;62145643
ENSG00000240801;;;Prime Overlapping Nc R N A;11;2129121;2129964
ENSG00000238443;;"Y RNA [Source:RFAM;Acc:RF00019]";Misc R N A;12;133238455;133238549
ENSG00000260159;;;Unprocessed Pseudogene;15;28454660;28457783
ENSG00000256609;;;Antisense;12;119182048;119183259
ENSG00000165588;OTX2;"orthodenticle homeobox 2 [Source:HGNC Symbol;Acc:HGNC:8522]";Protein Coding;14;56799905;56810479
ENSG00000248550;OTX2-AS1;"OTX2 antisense RNA 1 (head to head) [Source:HGNC Symbol;Acc:HGNC:43906]";Linc R N A;14;56813183;57152177
ENSG00000262664;OVCA2;"ovarian tumor suppressor candidate 2 [Source:HGNC Symbol;Acc:HGNC:24203]";Protein Coding;17;2041936;2043430
ENSG00000280184;;;Protein Coding;6;145789760;145791832
ENSG00000187950;OVCH1;"ovochymase 1 [Source:HGNC Symbol;Acc:HGNC:23080]";Protein Coding;12;29412474;29497686
ENSG00000260683;;;Linc R N A;X;127660631;127662530
ENSG00000225502;GAPDHP16;"glyceraldehyde-3-phosphate dehydrogenase pseudogene 16 [Source:HGNC Symbol;Acc:HGNC:23768]";Processed Pseudogene;21;14774301;14775262
ENSG00000257599;OVCH1-AS1;"OVCH1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:44484]";Antisense;12;29389294;29487488
ENSG00000125850;OVOL2;"ovo like zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:15804]";Protein Coding;20;17956979;18059188
ENSG00000105261;OVOL3;"ovo like zinc finger 3 [Source:HGNC Symbol;Acc:HGNC:14186]";Protein Coding;19;36111151;36113711
ENSG00000155463;OXA1L;"OXA1L, mitochondrial inner membrane protein [Source:HGNC Symbol;Acc:HGNC:8526]";Protein Coding;14;22766522;22773041
ENSG00000248668;OXCT1-AS1;"OXCT1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40423]";Processed Transcript;5;41870030;41872241
ENSG00000248126;;;Unprocessed Pseudogene;5;1598127;1598247
ENSG00000232142;RPS25P9;;Processed Pseudogene;10;70198988;70199239
ENSG00000274879;;;Processed Pseudogene;12;114929757;114929935
ENSG00000275902;;;Antisense;17;81697025;81697714
ENSG00000278221;MIR6511A2;"microRNA 6511a-2 [Source:HGNC Symbol;Acc:HGNC:50150]";Mi R N A;16;16324588;16324654
ENSG00000283558;;"hsa-mir-3158-1 [Source:miRBase;Acc:MI0014186]";Mi R N A;10;101601417;101601497
ENSG00000065057;NTHL1;"nth like DNA glycosylase 1 [Source:HGNC Symbol;Acc:HGNC:8028]";Protein Coding;16;2039815;2047866
ENSG00000238936;;"Small nucleolar RNA SNORD65 [Source:RFAM;Acc:RF00571]";Sno R N A;8;41426655;41426727
ENSG00000261532;;;Linc R N A;16;2211997;2212863
ENSG00000201624;;"Y RNA [Source:RFAM;Acc:RF00019]";Misc R N A;12;33982465;33982566
ENSG00000198754;OXCT2;"3-oxoacid CoA-transferase 2 [Source:HGNC Symbol;Acc:HGNC:18606]";Protein Coding;1;39769523;39771348
ENSG00000200610;;"Y RNA [Source:RFAM;Acc:RF00019]";Misc R N A;3;106515897;106515998
ENSG00000241853;;;Processed Pseudogene;4;88163579;88163967
ENSG00000207039;;"Y RNA [Source:RFAM;Acc:RF00019]";Misc R N A;1;153785720;153785821
ENSG00000237624;OXCT2P1;"3-oxoacid CoA-transferase 2 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:21627]";Unprocessed Pseudogene;1;39514956;39516490
ENSG00000162881;OXER1;"oxoeicosanoid receptor 1 [Source:HGNC Symbol;Acc:HGNC:24884]";Protein Coding;2;42762481;42764261
ENSG00000165621;OXGR1;"oxoglutarate receptor 1 [Source:HGNC Symbol;Acc:HGNC:4531]";Protein Coding;13;96985719;96994730
ENSG00000204237;OXLD1;"oxidoreductase like domain containing 1 [Source:HGNC Symbol;Acc:HGNC:27901]";Protein Coding;17;81665036;81666635
ENSG00000164830;OXR1;"oxidation resistance 1 [Source:HGNC Symbol;Acc:HGNC:15822]";Protein Coding;8;106359476;106752694
ENSG00000151093;OXSM;"3-oxoacyl-ACP synthase, mitochondrial [Source:HGNC Symbol;Acc:HGNC:26063]";Protein Coding;3;25782917;25794534
ENSG00000258802;;;Processed Pseudogene;14;52798904;52799061
ENSG00000278569;;"Metazoan signal recognition particle RNA [Source:RFAM;Acc:RF00017]";Misc R N A;7;17205652;17205928
ENSG00000257767;;;Protein Coding;12;111753890;111791418
ENSG00000259601;;;Processed Pseudogene;15;59871511;59873495
ENSG00000110717;NDUFS8;"NADH:ubiquinone oxidoreductase core subunit S8 [Source:HGNC Symbol;Acc:HGNC:7715]";Protein Coding;11;68030617;68036644
ENSG00000172939;OXSR1;"oxidative stress responsive 1 [Source:HGNC Symbol;Acc:HGNC:8508]";Protein Coding;3;38165089;38255488
ENSG00000259587;;;Linc R N A;15;35008469;35011191
ENSG00000236713;;;Processed Pseudogene;1;150780272;150780644
ENSG00000226578;;;Linc R N A;10;37775371;37784131
ENSG00000239093;;"Small nucleolar RNA U13 [Source:RFAM;Acc:RF01210]";Sno R N A;3;187423315;187423419
ENSG00000206734;;"Y RNA [Source:RFAM;Acc:RF00019]";Misc R N A;17;47557413;47557514
ENSG00000272783;;;Linc R N A;4;1550284;1550572
ENSG00000180914;OXTR;"oxytocin receptor [Source:HGNC Symbol;Acc:HGNC:8529]";Protein Coding;3;8750408;8769628
ENSG00000108405;P2RX1;"purinergic receptor P2X 1 [Source:HGNC Symbol;Acc:HGNC:8533]";Protein Coding;17;3896592;3916500
ENSG00000244459;;;Linc R N A;4;1574062;1580253
ENSG00000187848;P2RX2;"purinergic receptor P2X 2 [Source:HGNC Symbol;Acc:HGNC:15459]";Protein Coding;12;132618780;132622386
ENSG00000083454;P2RX5;"purinergic receptor P2X 5 [Source:HGNC Symbol;Acc:HGNC:8536]";Protein Coding;17;3672199;3696404
ENSG00000200059;;"Y RNA [Source:RFAM;Acc:RF00019]";Misc R N A;16;2131851;2131950
ENSG00000270679;;;Processed Pseudogene;19;44290081;44290911
ENSG00000280298;;;Protein Coding;2;200682822;200683196
ENSG00000254102;;;Antisense;8;64574306;64581888
ENSG00000253090;;"Small nucleolar RNA SNORA73 family [Source:RFAM;Acc:RF00045]";Sno R N A;6;107985659;107985773
ENSG00000260340;;;Linc R N A;16;84928353;84939603
ENSG00000204687;MAS1L;"MAS1 proto-oncogene like, G protein-coupled receptor [Source:HGNC Symbol;Acc:HGNC:13961]";Protein Coding;6;29486697;29487956
ENSG00000226534;;;Processed Pseudogene;22;21370064;21371945
ENSG00000277784;MIR6786;"microRNA 6786 [Source:HGNC Symbol;Acc:HGNC:49970]";Mi R N A;17;81693757;81693869
ENSG00000261113;;;Antisense;16;22286708;22288738
ENSG00000200060;;"Y RNA [Source:RFAM;Acc:RF00019]";Misc R N A;12;108738484;108738604
ENSG00000207420;;"Y RNA [Source:RFAM;Acc:RF00019]";Misc R N A;5;176556704;176556805
ENSG00000202001;;"Y RNA [Source:RFAM;Acc:RF00019]";Misc R N A;8;100755099;100755195
ENSG00000275280;;;Processed Pseudogene;Y;7656968;7657352
ENSG00000048544;MRPS10;"mitochondrial ribosomal protein S10 [Source:HGNC Symbol;Acc:HGNC:14502]";Protein Coding;6;42206801;42217865
ENSG00000237443;OR13D2P;"olfactory receptor family 13 subfamily D member 2 pseudogene [Source:HGNC Symbol;Acc:HGNC:15105]";Unprocessed Pseudogene;9;104590044;104590950
ENSG00000186912;P2RY4;"pyrimidinergic receptor P2Y4 [Source:HGNC Symbol;Acc:HGNC:8542]";Protein Coding;X;70258170;70259764
ENSG00000182162;P2RY8;"purinergic receptor P2Y8 [Source:HGNC Symbol;Acc:HGNC:15524]";Protein Coding;X;1462572;1537107
ENSG00000078589;P2RY10;"purinergic receptor P2Y10 [Source:HGNC Symbol;Acc:HGNC:19906]";Protein Coding;X;78945332;78961954
ENSG00000248607;;;Antisense;3;126056923;126058228
ENSG00000251452;;;Processed Pseudogene;4;144920713;144921164
ENSG00000260660;;;Unitary Pseudogene;15;75223412;75234014
ENSG00000257704;INAFM1;"InaF motif containing 1 [Source:HGNC Symbol;Acc:HGNC:27406]";Protein Coding;19;47274453;47275707
ENSG00000253750;;;Processed Pseudogene;8;64554236;64554475
ENSG00000250025;;;Antisense;5;146307098;146376963
ENSG00000269161;;;Antisense;19;17518330;17520565
ENSG00000279921;;;Protein Coding;2;206355739;206356119
ENSG00000254596;;;Processed Pseudogene;11;66454234;66454581
ENSG00000249235;;;Unprocessed Pseudogene;4;68861332;68861610
ENSG00000260620;;;Linc R N A;16;51054728;51056399
ENSG00000232168;P2RY10P2;"purinergic receptor P2Y10 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:32924]";Processed Pseudogene;X;79084936;79085848
ENSG00000262140;;;Unprocessed Pseudogene;16;71833787;71835932
ENSG00000169313;P2RY12;"purinergic receptor P2Y12 [Source:HGNC Symbol;Acc:HGNC:18124]";Protein Coding;3;151337380;151384812
ENSG00000181631;P2RY13;"purinergic receptor P2Y13 [Source:HGNC Symbol;Acc:HGNC:4537]";Protein Coding;3;151326312;151329548
ENSG00000277791;PSMB3;"proteasome subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:9540]";Protein Coding;17;38752736;38764231
ENSG00000225913;;;Linc R N A;10;87607985;87659279
ENSG00000255327;;;Linc R N A;11;134950708;134951568
ENSG00000248613;;;Unprocessed Pseudogene;4;68900651;68900910
ENSG00000164032;H2AFZ;"H2A histone family member Z [Source:HGNC Symbol;Acc:HGNC:4741]";Protein Coding;4;99948086;99950388
ENSG00000226990;;;Linc R N A;10;8400860;8461863
ENSG00000265664;;;Antisense;17;67032409;67033290
ENSG00000224220;;;Antisense;2;25421117;25427643
ENSG00000255381;;;Processed Pseudogene;11;59142121;59142610
ENSG00000282774;;;Transcribed Unitary Pseudogene;17;45633049;45636444
ENSG00000278317;;;Processed Pseudogene;X;120709061;120709392
ENSG00000242534;IGKV2D-28;"immunoglobulin kappa variable 2D-28 [Source:HGNC Symbol;Acc:HGNC:5799]";I G V Gene;2;89959979;89960754
ENSG00000169926;KLF13;"Kruppel like factor 13 [Source:HGNC Symbol;Acc:HGNC:13672]";Protein Coding;15;31326855;31435665
ENSG00000215162;LINC00269;"long intergenic non-protein coding RNA 269 [Source:HGNC Symbol;Acc:HGNC:26586]";Linc R N A;X;69179557;69209924
ENSG00000204386;NEU1;"neuraminidase 1 [Source:HGNC Symbol;Acc:HGNC:7758]";Protein Coding;6;31857659;31862906
ENSG00000174944;P2RY14;"purinergic receptor P2Y14 [Source:HGNC Symbol;Acc:HGNC:16442]";Protein Coding;3;151212117;151278467
ENSG00000279435;;;Protein Coding;Y;8565558;8627242
ENSG00000279684;;;T E C;11;93286629;93288903
ENSG00000117385;P3H1;"prolyl 3-hydroxylase 1 [Source:HGNC Symbol;Acc:HGNC:19316]";Protein Coding;1;42746335;42767084
ENSG00000270061;;;Sense Intronic;12;123969990;123970344
ENSG00000226806;;;Antisense;2;135820191;135823087
ENSG00000270117;;;Linc R N A;11;65498010;65498405
ENSG00000271697;;;Processed Pseudogene;14;67735195;67735350
ENSG00000260162;;;Linc R N A;16;88177289;88178646
ENSG00000279933;;;T E C;22;44183031;44187739
ENSG00000170852;KBTBD2;"kelch repeat and BTB domain containing 2 [Source:HGNC Symbol;Acc:HGNC:21751]";Protein Coding;7;32868172;32894131
ENSG00000246174;KCTD21-AS1;"KCTD21 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:48674]";Antisense;11;78139771;78175323
ENSG00000173212;MAB21L3;"mab-21 like 3 [Source:HGNC Symbol;Acc:HGNC:26787]";Protein Coding;1;116111755;116135240
ENSG00000090530;P3H2;"prolyl 3-hydroxylase 2 [Source:HGNC Symbol;Acc:HGNC:19317]";Protein Coding;3;189956728;190122437
ENSG00000248839;;;Antisense;3;98522570;98525334
